Channel,Impressions,Clicks,Cost,Conversions,Revenue
Influencer,58006,860,1903740,181,13635871
SEO,34749,3545,3282993,100,14778587
Organic,20338,999,938003,109,2819124
Influencer,7491,4555,2478837,254,21200443
Social Media,32236,3047,5711920,121,19350506
Organic,53096,1819,4181082,232,14521366
Organic,19599,380,3168893,70,13831233
Influencer,24508,3366,2274606,266,15688743
Email Marketing,59843,1987,2647500,299,19796186
Social Media,8051,3366,4994287,247,21167093
Influencer,53747,766,764180,190,17066471
Social Media,54156,4288,1702575,250,2227408
Social Media,26606,771,4906425,129,20078958
Organic,26699,2069,5012216,272,18332891
SEO,59021,4256,3106316,135,23294070
Social Media,5876,3222,2539855,241,12452983
Affiliate,37093,4799,5854777,22,7936754
Organic,9142,4877,3495049,44,18242404
Email Marketing,20202,4000,381570,25,13637311
SEO,44734,623,4181082,229,17251531
Affiliate,12079,2493,3397291,286,19438304
Affiliate,12987,3217,1625233,12,2820484
Email Marketing,44567,2693,381570,104,4605223
SEO,33940,2068,304615,244,11711596
Organic,42233,1853,2483366,91,17764726
Paid Ads,22019,2396,5012216,18,23632202
SEO,51185,2361,5012216,6,12463776
Email Marketing,23077,2386,3106316,297,8109964
Affiliate,31258,4302,5222930,45,23072466
Organic,26136,2978,5222930,115,4555447
SEO,13311,4243,1625233,18,16842498
Paid Ads,22214,3744,3168893,235,18951095
Paid Ads,19098,4532,166150,88,19057968
Social Media,33251,2155,764180,134,15001508
Social Media,42945,4820,2647500,235,3793331
Influencer,52030,1376,764180,149,13957684
Email Marketing,30945,2866,4181082,32,21041671
SEO,30316,402,5854777,70,7753817
SEO,37217,738,4181082,167,4835518
Influencer,13308,155,2534206,233,9089747
Affiliate,10949,4921,2302575,265,5722798
Affiliate,56990,625,2483366,168,21181938
Influencer,6150,4669,4906425,291,22492838
Affiliate,28944,4223,3168893,14,11635474
Social Media,39699,2225,5239743,199,24156987
SEO,14204,3387,2590706,122,14582610
Influencer,55816,464,0,274,10096394
SEO,6081,4721,2483366,84,20452900
Paid Ads,34305,1746,2647500,97,12272676
Social Media,21896,1018,3902429,270,17906301
Organic,51175,2897,3495049,261,10848533
Social Media,12805,1631,875435,137,10901929
Influencer,10237,3445,2483366,280,23349061
Organic,54711,2006,3455745,268,19795854
Paid Ads,25056,3186,4994287,175,17880319
Influencer,50543,4680,3106316,5,2489968
Email Marketing,54012,2175,1903740,68,5803943
SEO,50952,813,4906425,288,15953951
Paid Ads,8343,1162,659723,125,5997191
SEO,18500,2076,0,111,14621422
Affiliate,58222,1396,166150,179,11504849
Email Marketing,34375,225,2274606,208,11732194
Email Marketing,14662,4732,3837973,169,18534224
Paid Ads,21964,3696,2274606,124,23750723
Email Marketing,52893,3383,2647500,48,24714909
Organic,13130,1703,3913270,160,12958819
Email Marketing,24531,166,4994287,211,5637997
SEO,58401,332,4481137,112,14584264
SEO,6679,2256,1903740,255,7770518
Influencer,8506,1269,1903740,134,12906973
SEO,18284,2258,3282993,297,22789150
Influencer,12253,4306,1291902,24,8673321
SEO,24128,1593,3168893,286,8399284
Organic,32932,4818,166150,289,1503171
Influencer,14435,4107,3913270,5,16647083
Social Media,59340,2572,564071,123,24492154
Affiliate,49078,2760,5012216,39,15136519
